Name: CCTV-2, URL: http://202.100.46.58:9901/tsfile/live/1001_1.m3u8$订阅源, Date: None, Delay: 262 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://58.19.38.162:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 4486 ms, Speed: 0.13 M/s, Resolution: 720x576
Name: CCTV-2, URL: http://58.19.38.162:9901/tsfile/live/0002_2.m3u8$订阅源, Date: None, Delay: 4486 ms, Speed: 0.13 M/s, Resolution: 720x576
Name: CCTV-2, URL: http://58.220.219.14:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 914 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: http://112.123.206.32:808/hls/2/index.m3u8$订阅源, Date: None, Delay: 1219 ms, Speed: 0.09 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://58.19.43.46:9901/tsfile/live/1021_1.m3u8$订阅源, Date: None, Delay: 3029 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://117.144.58.42:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 3816 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: http://111.170.172.113:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 619 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://home.wwang.pw:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 292 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: http://home.dzlove.top:35455/itv/1000000005000265002.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 661 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://home.dzlove.top:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 661 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://nmmp.asia:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 482 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://1.itv.nctv.top:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 197 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-2, URL: http://dsm.huarunguoji.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 434 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8$订阅源, Date: None, Delay: 487 ms, Speed: 0.09 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://116.9.204.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 721 ms, Speed: 0.07 M/s, Resolution: 720x576
Name: CCTV-2, URL: http://183.11.239.36:808/hls/20/index.m3u8$订阅源, Date: None, Delay: 226 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-2, URL: http://1.itv.nctv.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 197 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-2, URL: http://219.135.180.210:18888/hls/2/index.m3u8$订阅源, Date: None, Delay: 240 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://112.46.85.60:8009/hls/502/index.m3u8$订阅源, Date: None, Delay: 1498 ms, Speed: 0.11 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://111.170.172.113:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 619 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://bg5aqv.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 411 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-2, URL: http://116.9.204.242:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 721 ms, Speed: 0.07 M/s, Resolution: 720x576
Name: CCTV-2, URL: http://58.221.214.82:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 231 ms, Speed: 0.10 M/s, Resolution: None
Name: CCTV-2, URL: http://218.89.240.144:59901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 2230 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-2, URL: http://219.145.93.74:9999/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 245 ms, Speed: 0.66 M/s, Resolution: None
Name: CCTV-2, URL: http://183.191.144.167:9003/hls/2/index.m3u8$订阅源, Date: None, Delay: 241 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-2, URL: http://home.dzlove.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 661 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://113.57.93.165:9900/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 821 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-2, URL: http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 262 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-2, URL: http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2230 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-2, URL: http://123.130.84.106:8154/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 2784 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-2, URL: http://home.wwang.pw:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 292 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: http://dsm.huarunguoji.top:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 434 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://bg5aqv.top:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 411 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-2, URL: http://gf.you123.fun:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 762 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://gf.you123.fun:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 762 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 306 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-2, URL: https://tv.2cf.x10.mx/2gx/3221225948/index.m3u8$订阅源, Date: None, Delay: 513 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 2248 ms, Speed: 0.03 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://138.2.110.209:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 519 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: http://111.160.17.2:59901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 429 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-2, URL: http://livetv.wqwqwq.sbs/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1189 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8$订阅源, Date: None, Delay: 22 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://li0580.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 444 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-2, URL: http://183.94.1.118:8801/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 482 ms, Speed: 0.17 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://2000.run:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 427 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-2, URL: http://ott.eonn.cn:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1416 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: http://111.14.181.15:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 474 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-2, URL: http://121.33.239.242:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 2053 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-2, URL: http://43.248.128.135:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 4473 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2759 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-2, URL: http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 3322 ms, Speed: 0.08 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://112.74.115.68:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 3711 ms, Speed: 0.00 M/s, Resolution: None
